,Number of operations ,,,O(n),
,"		",,,,
Method,,Method One,Method Two,Method Three,Method Four
,0,30,15,80,10
,50000,12417265,1162839,29954075,9233776
,100000,46090638,4188115,111166109,34352452
,150000,102909119,9077703,248167965,76867214
,200000,183894567,15832441,443411227,137595550
,250000,289280015,24452614,697455081,216723886
